sale_price,total_living_area
218836,1564
221800,1254
129200,941
340000,2466
137500,1422
147000,1117
147000,1374
64000,672
284000,1629
130000,810
145000,1040
165000,1200
183500,1299
250000,2057
103200,882
134500,845
113000,1048
235000,1755
155000,1422
224900,1661
159000,965
149000,1510
143000,1846
62383,864
238000,1718
380000,2643
90000,960
111000,1360
135750,952
161000,1433
100500,987
165000,1383
173000,1422
213000,1630
257500,1658
177500,1382
405000,2855
259000,1822
230000,1295
207500,1686
139400,1056
120000,1045
125000,1078
256000,2792
193000,1361
197900,1779
275000,2439
161500,1342
143500,1158
200000,2634
119500,950
170000,2048
163000,1912
150900,1728
178000,1414
173000,1636
146000,1175
168000,1430
88250,1092
129500,845
137000,1920
135000,893
127000,1355
147000,1322
140000,1812
260000,2646
163500,1657
87000,803
179000,1800
245000,2312
178000,1128
195000,2030
418000,2758
174000,1240
105000,1342
121500,1392
125500,864
134900,1040
153000,1520
120875,1024
275500,1702
194000,1717
117250,914
139500,1627
127000,864
176000,1458
165600,1501
151000,1556
182000,1179
230000,1314
155000,1103
132000,1224
250000,1646
157900,1442
114000,1232
317000,2473
135000,1178
172500,1320
141000,1464
91000,1077
230000,1517
161750,1392
98000,1436
335000,1743
140000,936
165000,1977
158000,1302
129000,1144
114500,1176
106000,846
183200,1509
140000,898
181316,1516
137000,1320
135000,1469
136500,848
235000,1252
115000,1639
140000,1710
184000,2495
212999,1500
130000,950
119500,1376
250000,2514
128000,1067
222000,1762
176000,1978
354000,2468
132500,1412
124500,816
147000,1113
82000,841
239900,1801
201000,1560
130000,1709
185750,1489
386250,2392
415000,1868
130000,894
232000,1668
185000,1674
240000,1953
61500,492
154000,1380
111500,1657
257000,2279
125000,1365
122000,1383
125000,912
172500,1471
377500,1746
117500,2210
250000,2064
159000,1394
190000,1728
153000,1738
143000,1568
137000,1728
149500,1505
183000,1773
232000,1616
212300,1952
200000,2082
119000,1728
145000,992
164000,1216
132000,1322
130000,1204
332000,1720
166000,1385
152500,1160
143500,951
110500,866
238500,1448
115000,1005
184000,1820
178900,1877
137000,1798
174000,1444
147500,1264
202500,1621
340000,2450
86000,605
205950,1665
188000,1696
207000,1764
159900,1560
113000,1487
157000,1253
154000,1626
116000,1118
84500,630
176000,1266
139500,1142
155000,1626
162500,1082
217500,1647
239000,2345
167800,1490
213500,1479
188000,2000
152000,1097
85500,869
140000,1362
112000,1416
200000,1405
260000,1530
219500,1740
158000,2654
136000,1274
177500,1200
120500,778
129900,864
274300,2097
157000,1949
195000,1948
281213,2482
178000,1593
286000,1593
125500,1360
79500,1092
425000,1978
215000,1488
174000,1682
135000,1668
152000,1620
111900,936
156500,1478
156000,1728
195000,1660
134000,1211
159000,1114
137000,1654
110000,1230
315000,2799
193500,2142
127500,864
133000,767
154000,1556
128000,1484
116000,882
104000,1091
102000,986
122000,1351
275500,2098
123000,1319
277500,2448
153600,1064
119000,949
128000,1172
257500,2004
146800,1062
60000,800
191750,1820
139000,1824
301000,2048
223000,1789
214000,1933
174500,1576
251000,1652
170000,1671
213000,1358
237500,2117
200000,1607
100000,987
128000,1180
119000,1556
212000,1502
195800,1611
164900,1363
185000,1644
135500,1393
90000,1040
72000,672
112000,833
170000,1396
168675,1491
129500,1475
135000,1488
45000,612
85000,1022
95000,1111
148000,1382
97900,936
109000,1034
139000,1436
233500,1759
122000,960
200100,1802
152000,1558
257000,1861
176500,1632
225000,2008
133000,1792
60000,438
240000,2358
290000,2683
129000,1633
130000,864
89500,998
157500,1024
341000,2418
131500,1795
123600,990
185000,1934
126000,1734
118500,2230
278000,1830
161000,1666
186700,1572
149900,1223
173000,1217
140000,1499
201490,1598
187000,1375
94900,988
441929,2234
139500,1489
134000,1080
83500,1092
152500,1527
282500,1565
153000,1313
172500,1920
160500,1040
124900,1869
131750,1426
175000,1691
256300,1600
120000,1073
167900,1116
205000,1567
180400,1465
97000,1344
128250,1435
140000,1796
265000,2443
230500,2161
119200,1082
179200,1575
373000,2497
128900,1378
220000,1782
404000,2020
384500,2551
172000,1083
290000,2400
87000,765
106500,992
168000,1742
127000,1691
110000,1179
119000,1200
203135,1652
460000,2790
99500,912
137500,964
123000,1040
144000,1167
138000,816
145000,990
134900,858
110000,924
177625,1728
93850,768
134000,1142
154300,2274
202500,1370
192000,1430
147500,1232
153500,1074
196000,1391
157500,1478
171500,1341
377426,1922
127500,1689
89500,1022
183000,1427
171500,1408
113000,988
211000,1948
372000,1802
196000,1306
157000,1497
165500,1955
143000,1347
86000,630
127000,1040
138000,1544
189000,1628
109900,1242
316500,1641
120500,816
82000,944
108000,1292
112000,1288
189500,1608
201000,1466
160000,1145
194700,1362
143000,1050
230000,1981
192000,1489
130000,1360
174000,1560
145000,1314
139000,1056
170000,1220
141000,1969
137250,864
144000,1099
61000,904
118000,698
100000,968
142125,1078
162000,1400
116500,1032
127500,1296
230500,1936
215000,1656
125000,948
127000,1145
179600,1422
187000,1855
139950,1144
129900,816
162000,1204
115000,1032
192500,1663
168000,1424
204000,2299
192000,1638
80000,630
235000,1811
199900,1886
165000,1376
146500,1298
250000,2784
175000,1280
174000,1282
138000,1904
160200,1145
137000,1057
268000,2295
214000,1588
129900,1200
270000,1494
99900,864
254000,1848
135000,1105
272000,2872
68104,845
151500,958
187500,1717
191500,1280
90500,1092
155000,990
500000,2696
144000,904
165000,1458
159000,1218
176432,1314
271000,1689
96500,789
148800,1102
350000,2726
122000,1889
185900,1651
239500,2020
316600,2132
232698,1721
121000,936
215200,1547
145000,1958
128200,894
163000,1362
147000,1143
187000,1851
212000,1661
163000,1558
174500,1564
210000,1908
184000,1686
122500,2290
52000,729
175900,1270
310000,2007
207500,1652
87000,906
250000,1958
290000,2526
206000,1208
252000,2385
93000,1142
151000,1054
138500,908
124000,1584
120000,879
193000,1617
171500,1730
113000,1218
138000,990
311500,1954
148800,1120
126000,1656
130000,1411
205000,1812
145000,1505
176500,1501
174000,1481
183500,1720
85500,1092
151500,1248
149000,1352
242000,2978
184500,1306
190000,1993
132000,928
175900,1603
148000,918
197600,2461
